world,T,branch_probability,lineage_cap_hits,mean_active_lineages_per_node,max_active_lineages_observed,fraction_steps_with_cap_hit
W0_null_flat,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,50,0.25,0.0,0.0,0.0,0.0
W0_null_flat,100,0.1,0.0,0.0,0.0,0.0
W0_null_flat,100,0.25,0.0,0.0,0.0,0.0
W1_distinction_only,50,0.1,74090.6,0.28753,5.0,0.9256
W1_distinction_only,50,0.25,174993.58,0.312463,5.0,0.94
W1_distinction_only,100,0.1,305278.28,0.3118705,5.0,0.9636
W1_distinction_only,100,0.25,424940.94,0.3125,5.0,0.97
W2_local_memory_only,50,0.1,73728.86,0.28735925,5.0,0.9232
W2_local_memory_only,50,0.25,175017.74,0.312461,5.0,0.94
W2_local_memory_only,100,0.1,305319.1,0.31186225,5.0,0.9647999999999999
W2_local_memory_only,100,0.25,424980.26,0.3125,5.0,0.97
W3_generic_coupling,50,0.1,648.96,0.1033835,5.0,0.8959999999999999
W3_generic_coupling,50,0.25,4667.78,0.15460975,5.0,0.93
W3_generic_coupling,100,0.1,692.64,0.10361075,5.0,0.5254
W3_generic_coupling,100,0.25,4582.42,0.15413825,5.0,0.5307999999999999
W4_random_relation,50,0.1,73781.16,0.28733149999999996,5.0,0.9248000000000001
W4_random_relation,50,0.25,175097.6,0.31246274999999996,5.0,0.94
W4_random_relation,100,0.1,305277.86,0.3118225,5.0,0.9621999999999999
W4_random_relation,100,0.25,425107.44,0.3125,5.0,0.97
W5_global_commutative_map,50,0.1,73586.64,0.28747675,5.0,0.9264
W5_global_commutative_map,50,0.25,175051.72,0.3124625,5.0,0.94
W5_global_commutative_map,100,0.1,305779.82,0.3118855,5.0,0.9621999999999999
W5_global_commutative_map,100,0.25,424982.34,0.3125,5.0,0.97
W6_symmetric_invertible_map,50,0.1,73902.54,0.2874235,5.0,0.9244
W6_symmetric_invertible_map,50,0.25,175049.28,0.3124625,5.0,0.94
W6_symmetric_invertible_map,100,0.1,305282.66,0.3118525,5.0,0.9621999999999999
W6_symmetric_invertible_map,100,0.25,424953.06,0.3125,5.0,0.97
W7_lossy_lock_in,50,0.1,73646.72,0.287299,5.0,0.9248000000000001
W7_lossy_lock_in,50,0.25,175027.24,0.312465,5.0,0.94
W7_lossy_lock_in,100,0.1,305543.54,0.311863,5.0,0.965
W7_lossy_lock_in,100,0.25,425003.4,0.3125,5.0,0.97
W8_full_branching_connection_graph,50,0.1,14473.98,0.16763024999999998,5.0,0.9244
W8_full_branching_connection_graph,50,0.25,47286.18,0.23292925,5.0,0.94
W8_full_branching_connection_graph,100,0.1,26851.18,0.1699975,5.0,0.9566
W8_full_branching_connection_graph,100,0.25,61142.1,0.2350825,5.0,0.97
W9_noise_rich,50,0.1,0.56,0.07390575,4.34,0.011199999999999998
W9_noise_rich,50,0.25,16.08,0.090878,5.0,0.1404
W9_noise_rich,100,0.1,0.48,0.07388425,4.2,0.0038
W9_noise_rich,100,0.25,15.52,0.0908155,5.0,0.06280000000000001
