space,stratum,classification,count
ECA_anchor,ECA_anchor,chaotic,2
ECA_anchor,ECA_anchor,collapse,5
ECA_anchor,ECA_anchor,emitter_or_generator,1
ECA_anchor,ECA_anchor,frozen_order,9
ECA_anchor,ECA_anchor,localized_persistence,6
ECA_anchor,ECA_anchor,transported_identity,10
q2_radius2,S7_symmetric_control,chaotic,1
q2_radius2,S7_symmetric_control,emitter_or_generator,7
q2_radius2,S7_symmetric_control,frozen_order,9
q2_radius2,S7_symmetric_control,localized_persistence,1
q2_radius2,S7_symmetric_control,transported_identity,7
q2_radius2,S8_self_only_control,emitter_or_generator,1
q2_radius2,S8_self_only_control,frozen_order,24
q3_radius1,S7_symmetric_control,chaotic,2
q3_radius1,S7_symmetric_control,collapse,1
q3_radius1,S7_symmetric_control,emitter_or_generator,9
q3_radius1,S7_symmetric_control,frozen_order,4
q3_radius1,S7_symmetric_control,localized_persistence,2
q3_radius1,S7_symmetric_control,transported_identity,7
q3_radius1,S8_self_only_control,frozen_order,25
